census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,"$150,001-$200,000",72,15,12,6,21,9,9,0,0,72,3
2023,08,Manawatū-Whanganui Region,Total - household composition,"$200,001 or more",873,81,78,99,147,204,138,75,48,867,6
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),"$200,001 or more",534,45,45,60,96,126,90,48,24,531,3
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),"$200,001 or more",129,9,12,15,24,30,18,12,6,129,3
2023,08,Manawatū-Whanganui Region,Three or more family household (with or without other people),"$200,001 or more",24,3,3,6,3,3,3,3,0,24,0
2023,08,Manawatū-Whanganui Region,Other multi-person household,"$200,001 or more",126,15,9,12,12,33,21,9,12,126,0
2023,08,Manawatū-Whanganui Region,One-person household,"$200,001 or more",24,6,3,3,3,6,3,0,3,24,0
2023,08,Manawatū-Whanganui Region,Total stated - household composition,"$200,001 or more",837,75,72,93,138,198,135,72,45,831,6
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,"$200,001 or more",36,3,3,3,9,6,6,3,0,36,3
2023,08,Manawatū-Whanganui Region,Total - household composition,Total stated - total household income,25647,5421,4152,5535,5151,3342,1122,303,216,25245,405
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),Total stated - total household income,14478,2013,1998,3186,3633,2463,768,189,81,14325,150
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),Total stated - total household income,648,78,66,102,150,144,69,21,12,642,6
2023,08,Manawatū-Whanganui Region,Three or more family household (with or without other people),Total stated - total household income,48,9,6,9,9,9,6,3,0,51,0
2023,08,Manawatū-Whanganui Region,Other multi-person household,Total stated - total household income,2310,363,294,450,444,396,186,66,69,2277,33
2023,08,Manawatū-Whanganui Region,One-person household,Total stated - total household income,7833,2865,1743,1749,840,291,66,18,48,7626,204
2023,08,Manawatū-Whanganui Region,Total stated - household composition,Total stated - total household income,25320,5328,4113,5493,5076,3306,1095,297,213,24924,396
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,Total stated - total household income,327,96,39,39,75,39,24,3,3,321,6
2023,08,Manawatū-Whanganui Region,Total - household composition,Not stated,1647,396,243,366,297,195,54,9,33,1593,57
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,Not stated,1647,396,243,366,297,195,54,9,33,1593,57
2023,09,Wellington Region,Total - household composition,Total - total household income,62433,8658,4857,7164,9501,10806,8853,5505,6639,61983,450
2023,09,Wellington Region,One-family household (with or without other people),Total - total household income,32724,3417,1719,2985,5262,7023,5952,3312,2901,32577,150
2023,09,Wellington Region,Two-family household (with or without other people),Total - total household income,1722,279,96,126,189,237,261,246,276,1716,6
2023,09,Wellington Region,Three or more family household (with or without other people),Total - total household income,102,18,9,9,9,15,9,9,27,102,0
2023,09,Wellington Region,Other multi-person household,Total - total household income,8634,603,477,477,729,1137,1245,1302,2640,8604,27
2023,09,Wellington Region,One-person household,Total - total household income,15378,3582,2280,3120,2751,1806,873,402,393,15204,171
2023,09,Wellington Region,Total stated - household composition,Total - total household income,58560,7899,4581,6720,8943,10215,8343,5274,6234,58203,354
2023,09,Wellington Region,Household composition unidentifiable,Total - total household income,3873,762,273,441,558,588,510,234,405,3780,93
2023,09,Wellington Region,Total - household composition,"$20,000 or less",4869,1902,639,621,549,456,318,156,177,4818,48
2023,09,Wellington Region,One-family household (with or without other people),"$20,000 or less",1575,519,138,120,222,252,192,84,45,1563,9
2023,09,Wellington Region,Two-family household (with or without other people),"$20,000 or less",21,12,0,3,3,0,0,0,0,21,0
2023,09,Wellington Region,Three or more family household (with or without other people),"$20,000 or less",3,3,0,0,0,0,0,0,0,3,0
2023,09,Wellington Region,Other multi-person household,"$20,000 or less",288,39,30,27,30,42,42,24,57,285,3
2023,09,Wellington Region,One-person household,"$20,000 or less",2970,1332,474,471,297,159,84,45,75,2934,36
2023,09,Wellington Region,Total stated - household composition,"$20,000 or less",4860,1899,639,618,549,456,315,156,177,4809,48
2023,09,Wellington Region,Household composition unidentifiable,"$20,000 or less",9,0,0,3,0,0,0,0,0,9,0
2023,09,Wellington Region,Total - household composition,"$20,001-$30,000",4542,1776,702,600,525,405,192,126,135,4464,78
2023,09,Wellington Region,One-family household (with or without other people),"$20,001-$30,000",1146,345,66,129,210,219,102,42,24,1140,6
2023,09,Wellington Region,Two-family household (with or without other people),"$20,001-$30,000",24,12,3,0,3,3,3,3,0,24,0
2023,09,Wellington Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Other multi-person household,"$20,001-$30,000",318,39,24,27,18,39,30,57,84,315,3
2023,09,Wellington Region,One-person household,"$20,001-$30,000",3048,1377,612,444,291,144,57,24,30,2976,72
2023,09,Wellington Region,Total stated - household composition,"$20,001-$30,000",4536,1773,702,600,522,405,192,126,135,4458,78
2023,09,Wellington Region,Household composition unidentifiable,"$20,001-$30,000",3,3,0,0,0,0,0,0,0,3,0
2023,09,Wellington Region,Total - household composition,"$30,001-$50,000",6999,1593,975,1218,1143,903,504,285,303,6927,72
2023,09,Wellington Region,One-family household (with or without other people),"$30,001-$50,000",3339,834,306,456,603,567,327,138,75,3300,39
2023,09,Wellington Region,Two-family household (with or without other people),"$30,001-$50,000",51,15,6,6,6,9,3,3,3,51,0
2023,09,Wellington Region,Three or more family household (with or without other people),"$30,001-$50,000",0,3,0,0,0,0,0,3,0,0,0
2023,09,Wellington Region,Other multi-person household,"$30,001-$50,000",861,153,66,72,93,117,84,93,180,855,6
2023,09,Wellington Region,One-person household,"$30,001-$50,000",2733,582,597,684,438,207,90,51,48,2700,33
2023,09,Wellington Region,Total stated - household composition,"$30,001-$50,000",6984,1584,975,1215,1143,900,504,285,303,6906,72
2023,09,Wellington Region,Household composition unidentifiable,"$30,001-$50,000",18,9,0,3,0,3,0,0,0,18,0
2023,09,Wellington Region,Total - household composition,"$50,001-$70,000",6771,831,702,1215,1401,1173,729,342,342,6732,36
2023,09,Wellington Region,One-family household (with or without other people),"$50,001-$70,000",3468,516,285,438,726,735,465,183,99,3447,21
2023,09,Wellington Region,Two-family household (with or without other people),"$50,001-$70,000",87,27,3,9,12,12,12,9,0,87,0
2023,09,Wellington Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Other multi-person household,"$50,001-$70,000",867,114,72,63,87,126,108,99,195,864,6
2023,09,Wellington Region,One-person household,"$50,001-$70,000",2319,159,339,702,573,294,141,51,48,2310,12
2023,09,Wellington Region,Total stated - household composition,"$50,001-$70,000",6741,819,696,1215,1398,1170,726,342,342,6705,36
2023,09,Wellington Region,Household composition unidentifiable,"$50,001-$70,000",27,12,6,3,3,3,0,3,0,27,0
2023,09,Wellington Region,Total - household composition,"$70,001-$100,000",9219,834,627,1299,2004,2001,1311,576,522,9177,42
2023,09,Wellington Region,One-family household (with or without other people),"$70,001-$100,000",5418,549,339,636,1137,1281,903,336,204,5388,27
2023,09,Wellington Region,Two-family household (with or without other people),"$70,001-$100,000",183,57,9,6,30,24,21,18,15,180,3
2023,09,Wellington Region,Three or more family household (with or without other people),"$70,001-$100,000",6,0,0,0,0,0,0,0,0,6,0
2023,09,Wellington Region,Other multi-person household,"$70,001-$100,000",1335,99,96,102,165,237,198,165,267,1329,3
2023,09,Wellington Region,One-person household,"$70,001-$100,000",2199,87,177,543,660,456,174,54,36,2187,9
2023,09,Wellington Region,Total stated - household composition,"$70,001-$100,000",9135,795,621,1290,1992,1995,1299,576,522,9093,42
2023,09,Wellington Region,Household composition unidentifiable,"$70,001-$100,000",84,39,6,6,12,6,12,0,3,84,0
2023,09,Wellington Region,Total - household composition,"$100,001-$150,000",12588,708,555,1176,2184,3123,2514,1230,1053,12546,42
2023,09,Wellington Region,One-family household (with or without other people),"$100,001-$150,000",8697,465,360,798,1512,2313,1911,804,510,8673,21
2023,09,Wellington Region,Two-family household (with or without other people),"$100,001-$150,000",378,84,27,30,48,57,60,39,36,375,3
2023,09,Wellington Region,Three or more family household (with or without other people),"$100,001-$150,000",15,3,0,0,3,3,3,3,3,15,0
2023,09,Wellington Region,Other multi-person household,"$100,001-$150,000",1917,84,90,117,216,333,342,282,444,1908,6
2023,09,Wellington Region,One-person household,"$100,001-$150,000",1446,30,69,219,387,405,183,87,54,1437,9
2023,09,Wellington Region,Total stated - household composition,"$100,001-$150,000",12453,666,546,1167,2163,3111,2496,1218,1047,12411,39
2023,09,Wellington Region,Household composition unidentifiable,"$100,001-$150,000",135,42,9,12,21,15,18,9,6,135,3
2023,09,Wellington Region,Total - household composition,"$150,001-$200,000",7176,237,228,390,810,1467,1698,1239,1089,7155,21
2023,09,Wellington Region,One-family household (with or without other people),"$150,001-$200,000",4986,129,141,267,603,1155,1263,846,567,4971,18
2023,09,Wellington Region,Two-family household (with or without other people),"$150,001-$200,000",351,42,24,33,36,51,69,57,39,351,0
2023,09,Wellington Region,Three or more family household (with or without other people),"$150,001-$200,000",21,6,0,3,3,0,0,3,3,21,0
2023,09,Wellington Region,Other multi-person household,"$150,001-$200,000",1311,27,48,42,75,150,261,282,423,1311,0
2023,09,Wellington Region,One-person household,"$150,001-$200,000",414,9,9,42,75,90,93,42,48,411,3
2023,09,Wellington Region,Total stated - household composition,"$150,001-$200,000",7080,213,219,381,795,1452,1686,1230,1083,7062,18
2023,09,Wellington Region,Household composition unidentifiable,"$150,001-$200,000",96,24,9,9,15,18,9,9,6,96,0
2023,09,Wellington Region,Total - household composition,"$200,001 or more",6840,159,183,249,390,732,1131,1350,2634,6825,15
2023,09,Wellington Region,One-family household (with or without other people),"$200,001 or more",4098,60,90,144,246,498,789,882,1383,4089,9
2023,09,Wellington Region,Two-family household (with or without other people),"$200,001 or more",630,27,27,42,54,81,99,114,180,627,3
2023,09,Wellington Region,Three or more family household (with or without other people),"$200,001 or more",54,3,6,3,6,9,6,3,18,54,0
2023,09,Wellington Region,Other multi-person household,"$200,001 or more",1737,48,51,30,45,87,180,300,987,1737,3
2023,09,Wellington Region,One-person household,"$200,001 or more",252,3,6,15,27,51,48,45,54,249,3
2023,09,Wellington Region,Total stated - household composition,"$200,001 or more",6771,147,177,237,381,726,1119,1347,2625,6756,15
2023,09,Wellington Region,Household composition unidentifiable,"$200,001 or more",69,15,3,12,12,6,12,3,9,69,0
2023,09,Wellington Region,Total - household composition,Total stated - total household income,59004,8040,4608,6768,9006,10263,8400,5298,6258,58644,360
2023,09,Wellington Region,One-family household (with or without other people),Total stated - total household income,32724,3417,1719,2985,5262,7023,5952,3312,2901,32577,150
2023,09,Wellington Region,Two-family household (with or without other people),Total stated - total household income,1722,279,96,126,189,237,261,246,276,1716,6
2023,09,Wellington Region,Three or more family household (with or without other people),Total stated - total household income,102,18,9,9,9,15,9,9,27,102,0
2023,09,Wellington Region,Other multi-person household,Total stated - total household income,8634,603,477,477,729,1137,1245,1302,2640,8604,27
2023,09,Wellington Region,One-person household,Total stated - total household income,15378,3582,2280,3120,2751,1806,873,402,393,15204,171
2023,09,Wellington Region,Total stated - household composition,Total stated - total household income,58560,7899,4581,6720,8943,10215,8343,5274,6234,58203,354
2023,09,Wellington Region,Household composition unidentifiable,Total stated - total household income,441,141,30,48,63,48,60,27,27,441,3
2023,09,Wellington Region,Total - household composition,Not stated,3432,621,246,396,495,543,453,207,378,3342,93
2023,09,Wellington Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,09,Wellington Region,Household composition unidentifiable,Not stated,3432,621,246,396,495,543,453,207,378,3342,93
2023,16,Tasman Region,Total - household composition,Total - total household income,4434,558,711,810,981,756,411,72,39,4338,93
2023,16,Tasman Region,One-family household (with or without other people),Total - total household income,2565,189,273,435,645,582,327,54,24,2532,33
2023,16,Tasman Region,Two-family household (with or without other people),Total - total household income,102,6,9,18,12,27,15,12,3,102,0
2023,16,Tasman Region,Three or more family household (with or without other people),Total - total household income,3,0,0,0,0,3,0,0,0,3,0
2023,16,Tasman Region,Other multi-person household,Total - total household income,282,36,39,39,69,54,27,3,3,273,9
2023,16,Tasman Region,One-person household,Total - total household income,1149,267,321,252,186,66,24,0,3,1116,33
2023,16,Tasman Region,Total stated - household composition,Total - total household income,4098,501,642,747,909,726,393,72,36,4026,75
2023,16,Tasman Region,Household composition unidentifiable,Total - total household income,336,57,69,66,72,30,18,0,6,315,21
2023,16,Tasman Region,Total - household composition,"$20,000 or less",348,75,75,78,51,42,15,3,3,339,9
2023,16,Tasman Region,One-family household (with or without other people),"$20,000 or less",123,12,12,30,30,24,12,3,0,123,0
2023,16,Tasman Region,Two-family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$20,000 or less",12,3,3,0,3,3,0,0,0,12,0
2023,16,Tasman Region,One-person household,"$20,000 or less",213,60,60,45,21,15,3,0,3,207,6
2023,16,Tasman Region,Total stated - household composition,"$20,000 or less",348,75,75,75,51,42,15,3,3,342,9
2023,16,Tasman Region,Household composition unidentifiable,"$20,000 or less",3,0,0,3,0,0,0,0,0,3,0
2023,16,Tasman Region,Total - household composition,"$20,001-$30,000",423,105,111,87,66,30,9,0,0,408,15
2023,16,Tasman Region,One-family household (with or without other people),"$20,001-$30,000",111,12,15,24,27,21,6,0,0,111,3
2023,16,Tasman Region,Two-family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$20,001-$30,000",9,3,0,3,3,0,0,0,0,9,0
2023,16,Tasman Region,One-person household,"$20,001-$30,000",306,87,93,60,39,9,3,0,0,291,15
2023,16,Tasman Region,Total stated - household composition,"$20,001-$30,000",423,105,111,87,66,30,9,0,0,408,15
2023,16,Tasman Region,Household composition unidentifiable,"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Total - household composition,"$30,001-$50,000",711,117,150,153,159,84,27,3,3,693,21
2023,16,Tasman Region,One-family household (with or without other people),"$30,001-$50,000",363,39,51,72,99,69,21,3,0,351,12
2023,16,Tasman Region,Two-family household (with or without other people),"$30,001-$50,000",3,0,0,0,0,0,0,0,0,3,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$30,001-$50,000",30,6,9,6,9,0,3,0,3,30,0
2023,16,Tasman Region,One-person household,"$30,001-$50,000",318,75,93,75,51,12,6,0,0,312,9
2023,16,Tasman Region,Total stated - household composition,"$30,001-$50,000",711,117,150,153,159,84,27,3,3,693,21
2023,16,Tasman Region,Household composition unidentifiable,"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Total - household composition,"$50,001-$70,000",609,72,105,138,153,99,18,9,3,597,12
2023,16,Tasman Region,One-family household (with or without other people),"$50,001-$70,000",372,36,48,81,96,81,15,9,3,366,9
2023,16,Tasman Region,Two-family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$50,001-$70,000",48,6,12,6,12,9,3,0,0,48,0
2023,16,Tasman Region,One-person household,"$50,001-$70,000",183,30,45,48,42,12,0,0,0,180,3
2023,16,Tasman Region,Total stated - household composition,"$50,001-$70,000",606,72,105,135,153,99,18,9,3,594,12
2023,16,Tasman Region,Household composition unidentifiable,"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Total - household composition,"$70,001-$100,000",756,54,99,150,210,156,60,9,6,744,12
2023,16,Tasman Region,One-family household (with or without other people),"$70,001-$100,000",576,30,72,114,165,126,54,6,3,570,3
2023,16,Tasman Region,Two-family household (with or without other people),"$70,001-$100,000",15,3,0,3,0,6,0,0,0,12,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$70,001-$100,000",3,0,0,0,0,3,0,0,0,3,0
2023,16,Tasman Region,Other multi-person household,"$70,001-$100,000",75,9,12,15,21,15,0,3,3,72,6
2023,16,Tasman Region,One-person household,"$70,001-$100,000",84,12,18,15,24,9,3,0,0,81,3
2023,16,Tasman Region,Total stated - household composition,"$70,001-$100,000",750,51,99,147,210,156,60,9,6,735,12
2023,16,Tasman Region,Household composition unidentifiable,"$70,001-$100,000",6,3,0,3,0,0,0,0,0,6,0
2023,16,Tasman Region,Total - household composition,"$100,001-$150,000",795,51,69,105,204,201,129,21,6,786,9
2023,16,Tasman Region,One-family household (with or without other people),"$100,001-$150,000",654,39,48,87,177,168,105,15,6,648,3
2023,16,Tasman Region,Two-family household (with or without other people),"$100,001-$150,000",33,3,0,9,3,6,6,6,0,33,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$100,001-$150,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$100,001-$150,000",63,6,6,6,12,21,9,0,0,63,0
2023,16,Tasman Region,One-person household,"$100,001-$150,000",39,3,12,3,6,6,6,0,0,36,3
2023,16,Tasman Region,Total stated - household composition,"$100,001-$150,000",786,48,66,105,201,201,129,21,6,780,6
2023,16,Tasman Region,Household composition unidentifiable,"$100,001-$150,000",9,0,0,3,3,0,0,0,0,6,3
2023,16,Tasman Region,Total - household composition,"$150,001-$200,000",294,21,21,27,51,72,84,6,6,294,3
2023,16,Tasman Region,One-family household (with or without other people),"$150,001-$200,000",237,18,21,18,36,57,78,6,3,234,3
2023,16,Tasman Region,Two-family household (with or without other people),"$150,001-$200,000",21,0,3,3,6,6,3,0,3,21,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$150,001-$200,000",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$150,001-$200,000",24,3,0,3,6,6,3,0,0,24,0
2023,16,Tasman Region,One-person household,"$150,001-$200,000",3,0,0,0,0,0,0,0,0,3,0
2023,16,Tasman Region,Total stated - household composition,"$150,001-$200,000",285,21,24,24,51,69,84,6,6,282,3
2023,16,Tasman Region,Household composition unidentifiable,"$150,001-$200,000",9,0,3,3,3,0,0,0,0,9,0
2023,16,Tasman Region,Total - household composition,"$200,001 or more",195,12,15,18,24,42,51,18,6,192,3
2023,16,Tasman Region,One-family household (with or without other people),"$200,001 or more",129,6,9,9,15,30,39,12,6,129,0
2023,16,Tasman Region,Two-family household (with or without other people),"$200,001 or more",33,0,6,3,3,6,6,6,0,33,0
2023,16,Tasman Region,Three or more family household (with or without other people),"$200,001 or more",0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,"$200,001 or more",21,0,0,0,3,3,6,3,0,21,0
2023,16,Tasman Region,One-person household,"$200,001 or more",6,3,0,3,3,0,0,0,0,6,0
2023,16,Tasman Region,Total stated - household composition,"$200,001 or more",189,12,15,18,21,42,51,18,6,186,0
2023,16,Tasman Region,Household composition unidentifiable,"$200,001 or more",6,0,0,3,3,0,3,0,0,3,0
2023,16,Tasman Region,Total - household composition,Total stated - total household income,4134,504,648,756,918,729,393,72,36,4053,81
2023,16,Tasman Region,One-family household (with or without other people),Total stated - total household income,2565,189,273,435,645,582,327,54,24,2532,33
2023,16,Tasman Region,Two-family household (with or without other people),Total stated - total household income,102,6,9,18,12,27,15,12,3,102,0
2023,16,Tasman Region,Three or more family household (with or without other people),Total stated - total household income,3,0,0,0,0,3,0,0,0,3,0
2023,16,Tasman Region,Other multi-person household,Total stated - total household income,282,36,39,39,69,54,27,3,3,273,9
2023,16,Tasman Region,One-person household,Total stated - total household income,1149,267,321,252,186,66,24,0,3,1116,33
2023,16,Tasman Region,Total stated - household composition,Total stated - total household income,4098,501,642,747,909,726,393,72,36,4026,75
2023,16,Tasman Region,Household composition unidentifiable,Total stated - total household income,36,3,6,9,9,3,3,0,0,30,3
2023,16,Tasman Region,Total - household composition,Not stated,300,54,66,54,63,27,15,0,6,285,15
2023,16,Tasman Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,16,Tasman Region,Household composition unidentifiable,Not stated,300,54,66,54,63,27,15,0,6,285,15
2023,17,Nelson Region,Total - household composition,Total - total household income,5586,756,429,1005,1554,1170,447,90,78,5532,51
2023,17,Nelson Region,One-family household (with or without other people),Total - total household income,3207,267,129,471,1011,867,327,75,42,3186,21
2023,17,Nelson Region,Two-family household (with or without other people),Total - total household income,126,21,6,9,27,30,27,0,3,123,0
2023,17,Nelson Region,Three or more family household (with or without other people),Total - total household income,3,0,0,0,0,0,0,0,0,3,0
2023,17,Nelson Region,Other multi-person household,Total - total household income,465,45,33,72,126,105,51,12,15,459,6
2023,17,Nelson Region,One-person household,Total - total household income,1542,381,246,417,321,108,33,3,15,1524,18
2023,17,Nelson Region,Total stated - household composition,Total - total household income,5343,717,417,969,1491,1107,438,90,75,5298,45
2023,17,Nelson Region,Household composition unidentifiable,Total - total household income,240,39,15,36,66,63,12,3,3,231,9
2023,17,Nelson Region,Total - household composition,"$20,000 or less",519,180,57,87,108,54,15,3,9,513,6
2023,17,Nelson Region,One-family household (with or without other people),"$20,000 or less",195,42,9,24,63,36,9,3,3,195,0
2023,17,Nelson Region,Two-family household (with or without other people),"$20,000 or less",3,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$20,000 or less",12,6,0,3,3,0,3,0,0,12,0
2023,17,Nelson Region,One-person household,"$20,000 or less",306,126,48,57,45,18,3,0,6,306,3
2023,17,Nelson Region,Total stated - household composition,"$20,000 or less",519,180,57,87,108,54,15,3,9,513,6
2023,17,Nelson Region,Household composition unidentifiable,"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Total - household composition,"$20,001-$30,000",588,201,87,129,96,51,6,0,0,576,9
2023,17,Nelson Region,One-family household (with or without other people),"$20,001-$30,000",153,36,3,24,51,36,3,0,3,153,0
2023,17,Nelson Region,Two-family household (with or without other people),"$20,001-$30,000",3,0,0,0,0,3,0,0,0,3,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$20,001-$30,000",12,3,3,3,3,0,0,0,0,12,0
2023,17,Nelson Region,One-person household,"$20,001-$30,000",417,165,81,99,45,15,3,0,0,408,9
2023,17,Nelson Region,Total stated - household composition,"$20,001-$30,000",588,201,87,129,96,51,6,0,0,576,9
2023,17,Nelson Region,Household composition unidentifiable,"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Total - household composition,"$30,001-$50,000",900,153,108,219,225,135,30,6,6,885,18
2023,17,Nelson Region,One-family household (with or without other people),"$30,001-$50,000",474,72,30,84,132,108,27,6,3,459,12
2023,17,Nelson Region,Two-family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$30,001-$50,000",51,12,6,15,12,9,3,0,0,51,0
2023,17,Nelson Region,One-person household,"$30,001-$50,000",375,69,72,123,84,18,0,0,3,372,6
2023,17,Nelson Region,Total stated - household composition,"$30,001-$50,000",900,153,108,219,225,135,30,6,6,885,18
2023,17,Nelson Region,Household composition unidentifiable,"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Total - household composition,"$50,001-$70,000",729,66,60,189,243,123,33,6,6,726,0
2023,17,Nelson Region,One-family household (with or without other people),"$50,001-$70,000",402,36,21,84,135,99,21,6,0,402,0
2023,17,Nelson Region,Two-family household (with or without other people),"$50,001-$70,000",9,3,0,0,3,0,0,0,0,9,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$50,001-$70,000",60,9,6,12,21,6,3,0,3,60,0
2023,17,Nelson Region,One-person household,"$50,001-$70,000",252,15,33,93,87,18,6,0,3,252,0
2023,17,Nelson Region,Total stated - household composition,"$50,001-$70,000",726,63,60,189,243,123,33,6,6,723,0
2023,17,Nelson Region,Household composition unidentifiable,"$50,001-$70,000",3,3,0,0,0,0,0,0,0,3,0
2023,17,Nelson Region,Total - household composition,"$70,001-$100,000",948,63,51,168,348,240,60,15,3,945,3
2023,17,Nelson Region,One-family household (with or without other people),"$70,001-$100,000",690,45,27,114,264,180,42,15,3,687,0
2023,17,Nelson Region,Two-family household (with or without other people),"$70,001-$100,000",15,0,0,3,6,3,3,0,0,15,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$70,001-$100,000",0,0,0,0,0,0,0,0,0,0,0
2023,17,Nelson Region,Other multi-person household,"$70,001-$100,000",120,9,6,18,42,33,9,0,0,120,0
2023,17,Nelson Region,One-person household,"$70,001-$100,000",117,3,12,33,39,24,6,0,0,117,0
2023,17,Nelson Region,Total stated - household composition,"$70,001-$100,000",942,60,48,168,345,240,60,15,3,942,3
2023,17,Nelson Region,Household composition unidentifiable,"$70,001-$100,000",3,0,0,0,0,0,0,0,0,3,0
2023,17,Nelson Region,Total - household composition,"$100,001-$150,000",1017,39,30,135,357,276,144,21,15,1011,6
2023,17,Nelson Region,One-family household (with or without other people),"$100,001-$150,000",822,21,24,99,291,240,117,18,9,816,6
2023,17,Nelson Region,Two-family household (with or without other people),"$100,001-$150,000",33,9,0,0,9,6,6,0,0,33,0
2023,17,Nelson Region,Three or more family household (with or without other people),"$100,001-$150,000",0,0,0,0,0,0,0,0,0,0,0
